CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
9/24/2017,6F,200 MCCURLEY ST,LARCENY,,SOUTHWESTERN,Saint Josephs
9/24/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
9/24/2017,6G,6600 REISTERSTOWN RD,LARCENY,,NORTHWESTERN,Reisterstown Station
9/24/2017,6C,0 S PACA ST,LARCENY,,CENTRAL,University Of Maryland
9/24/2017,6J,600 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/24/2017,6C,2700 WASHINGTON BLVD,LARCENY,,SOUTHWESTERN,Morrell Park
9/24/2017,6G,300 LIGHT ST,LARCENY,,CENTRAL,Inner Harbor
9/24/2017,6E,3500 E FAYETTE ST,LARCENY,,SOUTHEASTERN,Baltimore Highlands
9/24/2017,6E,2400 GUILFORD AVE,LARCENY,,NORTHERN,Barclay
9/24/2017,6G,100 S EUTAW ST,LARCENY,,CENTRAL,Downtown West
9/24/2017,6B,1300 E FAYETTE ST,LARCENY,,SOUTHEASTERN,Dunbar-Broadway
9/24/2017,6G,1200 E NORTHERN PKWY,LARCENY,,NORTHEASTERN,Idlewood
9/24/2017,6E,1500 N GILMOR ST,LARCENY,,WESTERN,Sandtown-Winchester
9/24/2017,6G,1500 RUSSELL ST,LARCENY,,SOUTHERN,Carroll - Camden Industri
9/24/2017,6G,HIGHLAND AV & E FAYETTE ST,LARCENY,,SOUTHEASTERN,Baltimore Highlands
9/24/2017,6E,4800 SETON DR,LARCENY,,NORTHWESTERN,Seton Business Park
9/24/2017,6C,100 W LEXINGTON ST,LARCENY,,CENTRAL,Downtown
9/24/2017,6F,2800 GUILFORD AVE,LARCENY,,NORTHERN,Harwood
9/24/2017,6E,AV & HOLDER AV,LARCENY,,NORTHEASTERN,Waltherson
9/24/2017,6G,400 N BELNORD AVE,LARCENY,,SOUTHEASTERN,McElderry Park
9/23/2017,6J,600 E PRATT ST,LARCENY,,CENTRAL,Inner Harbor
9/23/2017,6J,400 N ATHOL AVE,LARCENY,,SOUTHWESTERN,Uplands
9/23/2017,6J,1100 N STRICKER ST,LARCENY,,WESTERN,Sandtown-Winchester
9/23/2017,6C,600 E 33RD ST,LARCENY,,NORTHERN,Better Waverly
9/23/2017,6F,800 WASHINGTON BLVD,LARCENY,,SOUTHERN,Washington Village/Pigtow
9/23/2017,6C,400 E 33RD ST,LARCENY,,NORTHERN,Abell
9/23/2017,6J,3700 W BELVEDERE AVE,LARCENY,,NORTHWESTERN,Arlington
9/23/2017,6C,1500 HARFORD AVE,LARCENY,,EASTERN,Oliver
9/23/2017,6J,200 KEY HWY,LARCENY,,CENTRAL,Inner Harbor
9/23/2017,6C,600 E 33RD ST,LARCENY,,NORTHERN,Waverly
9/23/2017,6G,600 N HOWARD ST,LARCENY,,CENTRAL,Mount Vernon
9/23/2017,6G,1200 S CHARLES ST,LARCENY,,SOUTHERN,Federal Hill
9/23/2017,6G,1700 N WOLFE ST,LARCENY,,EASTERN,Broadway East
9/23/2017,6J,6400 Fort Smallwood Rd,LARCENY,,SOUTHERN,Hawkins Point
9/23/2017,6E,4300 SEMINOLE AVE,LARCENY,,SOUTHWESTERN,Rognel Heights
9/23/2017,6J,0 E.REDWOOD ST,LARCENY,,CENTRAL,Downtown
9/23/2017,6C,2400 FREDERICK AVE,LARCENY,,SOUTHWESTERN,Millhill
9/23/2017,6E,500 N PATTERSON PARK AVE,LARCENY,,EASTERN,CARE
9/23/2017,6E,WARWICK AV & W FAYETTE ST,LARCENY,,SOUTHWESTERN,Penrose/Fayette Street Ou
9/23/2017,6G,500 N LUZERNE AVE,LARCENY,,SOUTHEASTERN,McElderry Park
9/23/2017,6C,2400 FREDERICK AVE,LARCENY,,SOUTHWESTERN,Millhill
9/23/2017,6E,900 BONAPARTE AVE,LARCENY,,EASTERN,East Baltimore Midway
9/23/2017,6L,900 FORREST ST,LARCENY,,EASTERN,Penn-Fallsway
9/23/2017,6C,1800 WASHINGTON BLVD,LARCENY,,SOUTHERN,Carroll - Camden Industri
9/23/2017,6G,2500 LIBERTY HEIGHTS AVE,LARCENY,,NORTHWESTERN,Liberty Square
9/23/2017,6E,3500 E FEDERAL ST,LARCENY,,EASTERN,Orangeville Industrial Ar
9/22/2017,6E,4900 POE AVE,LARCENY,,NORTHERN,Cylburn
9/22/2017,6E,2800 GUILFORD AVE,LARCENY,,NORTHERN,Charles Village
9/22/2017,6G,500 WALKER AVE,LARCENY,,NORTHERN,Lake Walker
9/22/2017,6F,600 S LUZERNE AVE,LARCENY,,SOUTHEASTERN,Canton
9/22/2017,6C,2500 GWYNNS FALLS PKWY,LARCENY,,WESTERN,Mondawmin
9/22/2017,6C,1500 HAVENWOOD RD,LARCENY,,NORTHEASTERN,Hillen
9/22/2017,6E,400 SWALE AVE,LARCENY,,SOUTHERN,Cherry Hill
9/22/2017,6J,500 RUSSELL ST,LARCENY,,SOUTHERN,Stadium Area
9/22/2017,6G,2500 CALVERTON HEIGHTS AVE,LARCENY,,WESTERN,Bridgeview/Greenlawn
9/22/2017,6G,800 N EUTAW ST,LARCENY,,CENTRAL,Seton Hill
9/22/2017,6E,5400 HILLEN RD,LARCENY,,NORTHEASTERN,Loch Raven
9/22/2017,6J,0 S HOWARD ST,LARCENY,,CENTRAL,Downtown
9/22/2017,6J,3300 TAYLOR AVE,LARCENY,,NORTHEASTERN,Taylor Heights
9/22/2017,6G,BOND ST & E OLIVER ST,LARCENY,,EASTERN,Oliver
9/22/2017,6C,3500 BOSTON ST,LARCENY,,SOUTHEASTERN,Canton Industrial Area
