3/11/2017,2B,700 LINNARD ST,RAPE,,SOUTHWESTERN,Edgewood
3/9/2017,2A,3200 BRIGHTON ST,RAPE,OTHER,SOUTHWESTERN,Rosemont
3/8/2017,2A,600 LAURENS ST,RAPE,OTHER,CENTRAL,Upton
3/8/2017,2A,3600 LIBERTY HEIGHTS AVE,RAPE,OTHER,NORTHWESTERN,Ashburton
3/8/2017,2A,700 RESERVOIR ST,RAPE,OTHER,CENTRAL,Reservoir Hill
3/3/2017,2A,900 FLEET,RAPE,OTHER,SOUTHEASTERN,Inner Harbor
3/2/2017,2A,1900 W SARATOGA ST,RAPE,OTHER,WESTERN,Penrose/Fayette Street Ou
2/28/2017,2A,3000 HARVIEW AVE,RAPE,OTHER,NORTHEASTERN,North Harford Road
2/28/2017,2A,0 S EUTAW ST,RAPE,OTHER,CENTRAL,Downtown
2/26/2017,2A,4100 HYDEN CT,RAPE,OTHER,SOUTHERN,Brooklyn
2/24/2017,2A,2400 FREDERICK AVE,RAPE,OTHER,SOUTHWESTERN,Millhill
2/24/2017,2A,6400 PULASKI HWY,RAPE,OTHER,NORTHEASTERN,Pulaski Industrial Area
2/24/2017,2A,800 SEAGULL AVE,RAPE,OTHER,SOUTHERN,Cherry Hill
2/22/2017,2A,2200 SAINT PAUL ST,RAPE,OTHER,NORTHERN,Barclay
2/21/2017,2A,7100 PARK HEIGHTS,RAPE,OTHER,NORTHWESTERN,Fallstaff
2/21/2017,2A,2100 VINE ST,RAPE,OTHER,WESTERN,Penrose/Fayette Street Ou
2/20/2017,2A,1600 CHILTON ST,RAPE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
2/17/2017,2A,5600 LOCH RAVEN BLVD,RAPE,OTHER,NORTHEASTERN,Loch Raven
2/14/2017,2A,2500 W NORTH AVE,RAPE,OTHER,WESTERN,Mondawmin
2/13/2017,2A,1500 FILBERT ST,RAPE,OTHER,SOUTHERN,Curtis Bay
2/13/2017,2A,2800 RAYNER AVE,RAPE,OTHER,WESTERN,Mosher
2/13/2017,2B,300 E 21 HALF ST,RAPE,,EASTERN,Barclay
2/11/2017,2A,3200 BELMONT AVE,RAPE,OTHER,SOUTHWESTERN,Rosemont
2/10/2017,2A,4300 GLENMORE AVE,RAPE,OTHER,NORTHEASTERN,Cedmont
2/9/2017,2A,600 ASHBURTON ST,RAPE,OTHER,WESTERN,Mosher
2/9/2017,2A,700 CATOR AVE,RAPE,OTHER,NORTHERN,Pen Lucy
2/6/2017,2A,4100 DORIS AVE,RAPE,OTHER,SOUTHERN,Brooklyn
2/3/2017,2A,700 RESERVOIR ST,RAPE,OTHER,CENTRAL,Reservoir Hill
2/2/2017,2A,1300 GREENMOUNT AVE,RAPE,OTHER,EASTERN,Johnston Square
2/1/2017,2A,2400 W PATAPSCO AVE,RAPE,OTHER,SOUTHERN,Lakeland
1/31/2017,2B,5800 ARIZONA AVE,RAPE,,NORTHEASTERN,Frankford
1/31/2017,2A,1400 W COLD SPRING LN,RAPE,OTHER,NORTHERN,Cross Keys
1/30/2017,2A,1300 W SARATOGA ST,RAPE,OTHER,WESTERN,Franklin Square
1/30/2017,2A,700 EDGEWOOD ST 20A,RAPE,OTHER,SOUTHWESTERN,Edgewood
