CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
12/16/2014,1F,2900 RIDGEWOOD AV,HOMICIDE,FIREARM,NORTHWESTERN,Lucille Park
12/14/2014,1F,2700 ASHLAND AV,HOMICIDE,FIREARM,EASTERN,Madison-Eastend
12/14/2014,1F,2300 HARFORD RD,HOMICIDE,FIREARM,EASTERN,East Baltimore Midway
12/9/2014,1F,2500 MC HENRY ST,HOMICIDE,FIREARM,SOUTHWESTERN,Shipley Hill
12/7/2014,1F,500 EDGEWOOD ST,HOMICIDE,FIREARM,SOUTHWESTERN,Allendale
12/2/2014,1F,2800 ASHLAND AV,HOMICIDE,FIREARM,EASTERN,Madison-Eastend
12/1/2014,1F,1500 ARGYLE AV,HOMICIDE,FIREARM,CENTRAL,Upton
12/1/2014,1F,3900 PENHURST AV,HOMICIDE,FIREARM,NORTHWESTERN,Dolfield
11/30/2014,1K,6500 CROSS COUNTRY BLVD,HOMICIDE,KNIFE,NORTHWESTERN,Cross Country
11/25/2014,1F,1200 DARLEY AV,HOMICIDE,FIREARM,EASTERN,East Baltimore Midway
11/20/2014,1F,4600 MANNASOTA AV,HOMICIDE,FIREARM,NORTHEASTERN,Frankford
11/19/2014,1F,3000 WYLIE AV,HOMICIDE,FIREARM,NORTHERN,Parklane
11/19/2014,1O,500 W LANVALE ST,HOMICIDE,OTHER,CENTRAL,Upton
11/18/2014,1O,1600 E 28TH ST,HOMICIDE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
11/10/2014,1F,3400 MONDAWMIN AV,HOMICIDE,FIREARM,NORTHWESTERN,Hanlon-Longwood
11/10/2014,1F,300 NOTTINGHAM RD,HOMICIDE,FIREARM,SOUTHWESTERN,Ten Hills
11/9/2014,1F,400 EDGEWOOD ST,HOMICIDE,FIREARM,SOUTHWESTERN,Lower Edmondson Village
11/5/2014,1F,2800 KENT ST,HOMICIDE,FIREARM,SOUTHERN,Westport
11/3/2014,1F,2700 PRESSTMAN ST,HOMICIDE,FIREARM,SOUTHWESTERN,Northwest Community Actio
11/2/2014,1F,3600 PARK HEIGHTS AV,HOMICIDE,FIREARM,NORTHWESTERN,Park Circle
11/1/2014,1F,400 N GAY ST,HOMICIDE,FIREARM,EASTERN,Penn-Fallsway
10/31/2014,1F,3500 BRENDAN AV,HOMICIDE,FIREARM,NORTHEASTERN,Belair-Edison
10/29/2014,1F,0 S CATHERINE ST,HOMICIDE,FIREARM,SOUTHWESTERN,Shipley Hill
10/28/2014,1O,4400 FURLEY AV,HOMICIDE,OTHER,NORTHEASTERN,Frankford
10/25/2014,1F,4700 LIBERTY HEIGHTS AV,HOMICIDE,FIREARM,NORTHWESTERN,Howard Park
10/23/2014,1F,3900 CHESTERFIELD AV,HOMICIDE,FIREARM,NORTHEASTERN,Belair-Edison
10/22/2014,1F,3800 WOODBINE AV,HOMICIDE,FIREARM,NORTHWESTERN,Howard Park
10/15/2014,1K,800 HARFORD CT,HOMICIDE,KNIFE,EASTERN,Oldtown
10/11/2014,1O,2500 GARRETT AV,HOMICIDE,OTHER,NORTHEASTERN,Coldstream Homestead Mont
10/10/2014,1F,5600 LOCH RAVEN BLVD,HOMICIDE,FIREARM,NORTHEASTERN,Loch Raven
10/10/2014,1F,1500 TRACTION ST,HOMICIDE,FIREARM,WESTERN,Penn North
10/9/2014,1K,1700 W NORTH AV,HOMICIDE,KNIFE,WESTERN,Penn North
