callDateTime,priority,district,description,callNumber,incidentLocation
01/18/2016 02:32:00 PM,Medium,NE,FAMILY DISTURB,P160181493,5600 FORCE RD
01/18/2016 04:35:00 AM,Medium,NE,FAMILY DISTURB,P160180414,3200 LYNDALE AV
01/18/2016 02:21:00 PM,Medium,WD,FAMILY DISTURB,P160181459,900 N FULTON AV
01/18/2016 08:20:00 AM,Medium,NE,FAMILY DISTURB,P160180587,1900 E 30TH ST
01/18/2016 08:55:00 AM,Medium,SD,FAMILY DISTURB,P160180655,4100 MARIBAN CT
01/18/2016 08:54:00 AM,Medium,CD,FAMILY DISTURB,P160180650,400 WATTY CT
01/18/2016 08:46:00 AM,Medium,SD,FAMILY DISTURB,P160180630,4200 THAYER CT
01/18/2016 08:54:00 AM,Medium,SD,FAMILY DISTURB,P160180653,1200 WARD ST
01/18/2016 10:03:00 AM,Medium,NE,FAMILY DISTURB,P160180805,5200 FRANKFORD AV
01/18/2016 12:12:00 PM,Medium,WD,FAMILY DISTURB,P160181110,1700 N PULASKI ST
01/18/2016 10:49:00 AM,Medium,CD,FAMILY DISTURB,P160180914,1500 DIVISION ST
01/18/2016 11:20:00 AM,Medium,SD,FAMILY DISTURB,P160180980,600 E PATAPSCO AV
01/18/2016 11:43:00 AM,Medium,NW,FAMILY DISTURB,P160181029,4100 BELLE AV
01/18/2016 02:40:00 PM,Medium,SE,FAMILY DISTURB,P160181519,100 LLOYD ST
01/18/2016 03:50:00 PM,Medium,NE,FAMILY DISTURB,P160181716,1900 E 30TH ST
01/18/2016 03:31:00 PM,Medium,SD,FAMILY DISTURB,P160181657,3000 ELIZABETH AV
01/18/2016 04:00:00 PM,Medium,ND,FAMILY DISTURB,P160181751,2500 KEYWORTH AV
01/18/2016 04:11:00 PM,Medium,CD,FAMILY DISTURB,P160181785,1500 MYRTLE AV
01/18/2016 05:12:00 PM,Medium,NW,FAMILY DISTURB,P160181962,3500 COTTAGE AV
01/18/2016 05:42:00 PM,Medium,SW,FAMILY DISTURB,P160182037,2000 HARMAN AV
01/18/2016 05:41:00 PM,Medium,SD,FAMILY DISTURB,P160182031,2600 WEGWORTH LN
01/18/2016 05:43:00 PM,Medium,ED,FAMILY DISTURB,P160182035,1500 N PATTERSON PARK AV
01/18/2016 06:13:00 PM,Medium,SD,FAMILY DISTURB,P160182129,1600 BELT ST
01/18/2016 06:12:00 PM,Medium,NW,FAMILY DISTURB,P160182127,3000 MONDAWMIN AV
01/18/2016 08:30:00 PM,Medium,SE,FAMILY DISTURB,P160182471,0 S ANN ST
01/18/2016 08:21:00 PM,Medium,SE,FAMILY DISTURB,P160182448,3600 MT PLEASANT AV
01/18/2016 09:38:00 PM,Medium,SW,FAMILY DISTURB,P160182645,1400 N DUKELAND ST
01/18/2016 08:50:00 PM,Medium,WD,FAMILY DISTURB,P160182512,2700 CLIFTON AV
01/18/2016 09:00:00 PM,Medium,ED,FAMILY DISTURB,P160182535,2300 ASHLAND AV
01/18/2016 08:49:00 PM,Medium,SW,FAMILY DISTURB,P160182514,2000 BRADDISH AV
01/18/2016 08:53:00 PM,Medium,ED,FAMILY DISTURB,P160182519,1600 E CHASE ST
01/18/2016 09:50:00 PM,Medium,ED,FAMILY DISTURB,P160182679,1000 E NORTH AV
01/18/2016 10:29:00 PM,Medium,NE,FAMILY DISTURB,P160182773,5900 DARIEN CT
01/18/2016 10:11:00 PM,Medium,ND,FAMILY DISTURB,P160182723,400 WHITRIDGE AV
01/19/2016 09:43:00 AM,Medium,NE,FAMILY DISTURB,P160190842,2600 HARFORD RD
01/18/2016 10:40:00 PM,Medium,NE,FAMILY DISTURB,P160182804,3200 GLENDALE AV
01/18/2016 11:44:00 PM,Medium,ED,FAMILY DISTURB,P160182959,700 N MONTFORD AV
01/19/2016 12:02:00 AM,Medium,ND,FAMILY DISTURB,P160190017,300 E 26TH ST
01/19/2016 01:52:00 AM,Medium,SW,FAMILY DISTURB,P160190199,3800 CRANSTON AV
01/19/2016 02:20:00 AM,Medium,SD,FAMILY DISTURB,P160190236,2200 ROUND RD
01/19/2016 02:10:00 AM,Medium,ND,FAMILY DISTURB,P160190227,2400 N CHARLES ST
01/19/2016 02:19:00 AM,Medium,SW,FAMILY DISTURB,P160190234,3800 CRANSTON AV
01/19/2016 02:37:00 AM,Medium,CD,FAMILY DISTURB,P160190258,2500 EUTAW PL
01/19/2016 04:22:00 AM,Medium,NE,FAMILY DISTURB,P160190358,1700 E 30TH ST
01/20/2016 09:36:00 AM,Medium,ED,FAMILY DISTURB,P160200840,1500 E LAFAYETTE AV
01/19/2016 03:07:00 AM,Medium,SW,FAMILY DISTURB,P160190301,1400 N DUKELAND ST
01/19/2016 03:00:00 AM,Medium,SW,FAMILY DISTURB,P160190291,900 MT HOLLY ST
01/19/2016 05:30:00 AM,Medium,WD,FAMILY DISTURB,P160190402,1300 W MULBERRY ST
01/19/2016 07:15:00 AM,Medium,WD,FAMILY DISTURB,P160190477,500 N CARROLLTON AV
01/19/2016 07:23:00 AM,Medium,NW,FAMILY DISTURB,P160190500,5000 PEMBRIDGE AV
01/19/2016 08:50:00 AM,Medium,NE,FAMILY DISTURB,P160190714,5800 HILLEN RD
01/19/2016 09:42:00 AM,Medium,SW,FAMILY DISTURB,P160190841,0 N CULVER ST
01/19/2016 10:05:00 AM,Medium,NE,FAMILY DISTURB,P160190891,5500 WHITBY RD
01/19/2016 03:39:00 PM,Medium,WD,FAMILY DISTURB,P160191908,2500 FRANCIS ST
01/19/2016 05:42:00 PM,Medium,SW,FAMILY DISTURB,P160192328,4400 BIRCHWOOD DR
01/19/2016 05:27:00 PM,Medium,SE,FAMILY DISTURB,P160192267,3400 E PRATT ST
01/19/2016 05:29:00 PM,Medium,CD,FAMILY DISTURB,P160192271,2300 CALLOW AV
01/19/2016 05:14:00 PM,Medium,NE,FAMILY DISTURB,P160192208,900 NORTH HILL RD
01/19/2016 05:18:00 PM,Medium,NW,FAMILY DISTURB,P160192218,6800 GIST AV
01/19/2016 04:59:00 PM,Medium,CD,FAMILY DISTURB,P160192161,2300 CALLOW AV
01/19/2016 05:16:00 PM,Medium,CD,FAMILY DISTURB,P160192221,500 CUMBERLAND ST
01/19/2016 05:11:00 PM,Medium,CD,FAMILY DISTURB,P160192201,500 CUMBERLAND ST
01/19/2016 05:49:00 PM,Medium,NW,FAMILY DISTURB,P160192334,6600 VINCENT LN
01/19/2016 06:16:00 PM,Medium,SW,FAMILY DISTURB,P160192437,3200 WESTMONT AV
01/19/2016 06:17:00 PM,Medium,NW,FAMILY DISTURB,P160192439,6600 VINCENT LN
01/19/2016 06:07:00 PM,Medium,SD,FAMILY DISTURB,P160192393,300 S MONROE ST
01/19/2016 06:30:00 PM,Medium,NW,FAMILY DISTURB,P160192479,5100 GWYNN OAK AV
01/19/2016 06:35:00 PM,Medium,ED,FAMILY DISTURB,P160192497,1500 KENHILL AV
01/19/2016 06:50:00 PM,Medium,SD,FAMILY DISTURB,P160192540,300 S MONROE ST
01/19/2016 06:49:00 PM,Medium,SD,FAMILY DISTURB,P160192536,300 S MONROE ST
01/19/2016 06:58:00 PM,Medium,SD,FAMILY DISTURB,P160192578,300 S MONROE ST
01/19/2016 07:28:00 PM,Medium,NW,FAMILY DISTURB,P160192652,3000 SPAULDING AV
01/19/2016 07:41:00 PM,Medium,ED,FAMILY DISTURB,P160192699,2100 JEFFERSON ST
